Date,RainData,Standardized Precipitation Index,Standardized Precipitation Evapotranspiration Index,DroughtCategory
1/1/1996,98.42333142,1.211240127,-2.506537936,Normal
1/2/1996,18.84861328,0.401579713,0.330222183,Normal
1/3/1996,34.33879863,0.52765343,-2.121528073,Severe
1/4/1996,20.50690762,-1.014143583,-1.825864959,Extreme
1/5/1996,122.5185617,-0.227492372,-0.6415327,Extreme
1/6/1996,18.84207272,-2.531271415,-2.395047984,Extreme
1/7/1996,150.8564666,-0.85590785,-1.960778983,Moderate
1/8/1996,4.102183864,1.174971092,-0.906285531,Moderate
1/9/1996,49.8751576,2.719296183,-1.021985967,Normal
1/10/1996,178.1333352,2.778384677,1.495628914,Normal
1/11/1996,143.7062636,0.334337215,-2.551306169,Moderate
1/12/1996,14.59366659,0.639733511,2.162704414,Extreme
1/13/1996,164.2252209,-1.885672887,1.897393024,Severe
1/14/1996,98.60702431,1.171848649,1.595949838,Extreme
1/15/1996,169.3566054,-2.576047244,-1.143765825,Moderate
1/16/1996,120.1479549,-1.291885885,1.937290713,Moderate
1/17/1996,136.3666064,1.010180084,-1.903187518,Extreme
1/18/1996,198.7003121,-1.138139211,-2.253544765,Moderate
1/19/1996,46.46710918,-2.700918755,-2.730261999,Moderate
1/20/1996,124.789115,1.991222456,2.635862178,Extreme
1/21/1996,92.06427801,-1.138019957,-1.151934614,Normal
1/22/1996,7.890390585,-2.621368651,2.505707281,Normal
1/23/1996,2.894128301,-2.551271013,-1.364318631,Normal
1/24/1996,23.84571556,-1.489447207,2.445395756,Extreme
1/25/1996,129.8183481,-1.931904317,2.423574317,Normal
1/26/1996,113.4326176,1.645800707,2.54205627,Normal
1/27/1996,110.6859122,-1.06989572,-0.023079364,Severe
1/28/1996,6.371352506,1.82817471,2.195677721,Moderate
1/29/1996,93.86059927,-1.956924013,2.704595377,Extreme
1/30/1996,184.9245636,-0.042724923,-1.052298349,Extreme
1/31/1996,79.51837386,1.128222801,-0.486753566,Normal
2/1/1996,124.984494,0.911945123,1.315441124,Extreme
2/2/1996,155.9637351,0.60677646,-1.19784107,Normal
2/3/1996,156.7850558,2.548929612,1.522855853,Extreme
2/4/1996,103.8560165,-1.628849114,-2.556647129,Extreme
2/5/1996,171.5903891,-0.037684773,0.140990306,Severe
2/6/1996,78.27561867,2.3039553,-2.266119095,Normal
2/7/1996,177.738643,-2.532637406,-1.240059141,Moderate
2/8/1996,48.04543328,-2.66467039,-1.448247645,Extreme
2/9/1996,56.0432814,-1.600186275,2.033592441,Severe
2/10/1996,10.62412484,0.798127317,-1.838896468,Severe
2/11/1996,159.1163673,-1.440722241,1.850687521,Extreme
2/12/1996,83.41104725,-1.858560697,1.763762075,Extreme
2/13/1996,45.82332278,-0.247186108,-0.006701667,Moderate
2/14/1996,46.35805552,0.681588413,-1.596940466,Extreme
2/15/1996,180.2799882,-1.508653758,-1.63862196,Moderate
2/16/1996,166.7833201,-1.19585288,-0.210452117,Extreme
2/17/1996,110.7061771,0.681355829,-2.947145956,Moderate
2/18/1996,123.2221601,2.674430532,0.188104528,Moderate
2/19/1996,94.86511411,1.048450365,2.716677155,Normal
2/20/1996,78.33330858,1.697424862,-2.071758709,Normal
2/21/1996,183.0953762,-0.799139431,0.440073729,Severe
2/22/1996,25.1225407,-1.366473844,2.770672132,Severe
2/23/1996,83.68935794,-0.274393541,2.163132837,Extreme
2/24/1996,68.9123816,1.842796972,2.102280698,Extreme
2/25/1996,99.63014405,-0.262202149,1.931099582,Extreme
2/26/1996,91.52637491,2.080352453,-1.145858364,Extreme
2/27/1996,103.7779063,2.932631884,2.343700988,Normal
2/28/1996,27.98379545,-2.567840006,2.648042107,Severe
2/29/1996,102.6283003,-2.727539063,-0.02524546,Normal
3/1/1996,48.48376278,-2.102461783,-0.872573716,Severe
3/2/1996,36.8662698,-0.693781946,-0.514625906,Extreme
3/3/1996,12.96684376,-2.213746745,-0.994761349,Normal
3/4/1996,152.5305118,2.223986866,-1.725489348,Severe
3/5/1996,85.48838417,-2.861122494,0.710690822,Normal
3/6/1996,125.3287367,-1.105243702,0.375581317,Extreme
3/7/1996,145.5186687,-1.891832223,-0.224489574,Severe
3/8/1996,135.8633331,2.589235981,-2.42492768,Severe
3/9/1996,94.10014382,1.016886029,1.781357788,Extreme
3/10/1996,77.57970579,2.472181539,-1.950398623,Severe
3/11/1996,75.19198193,2.833972262,-2.31262774,Normal
3/12/1996,128.0097594,-0.017410538,0.738428373,Normal
3/13/1996,98.95887099,-1.594085352,-0.608133833,Severe
3/14/1996,169.8264496,-1.837627283,-2.641149148,Moderate
3/15/1996,174.9403969,-1.66248683,-0.86658987,Severe
3/16/1996,34.1120756,1.251559846,1.630682114,Severe
3/17/1996,27.24673031,-2.757325631,0.691495231,Normal
3/18/1996,126.0801852,-2.691833562,-0.823283862,Severe
3/19/1996,60.24514961,0.648857654,-1.84917125,Normal
3/20/1996,3.714143753,0.85234288,0.790773725,Normal
3/21/1996,177.7285339,0.991577546,2.325331806,Moderate
3/22/1996,45.38015345,-0.768716972,0.877636308,Severe
3/23/1996,185.8561303,1.835669332,1.877423128,Extreme
3/24/1996,143.4868902,0.201747526,0.129167031,Extreme
3/25/1996,152.530698,-2.36720622,1.30782664,Extreme
3/26/1996,40.29229916,1.782595842,2.377360643,Severe
3/27/1996,46.83888512,2.718406718,1.63907387,Severe
3/28/1996,104.2535508,-2.639782122,2.45912372,Normal
3/29/1996,34.41997053,-0.651891968,-0.413162387,Severe
3/30/1996,61.08633854,-0.074903731,2.425321531,Extreme
3/31/1996,64.29249559,-2.12117544,0.729403407,Extreme
4/1/1996,31.92598665,2.206253687,2.220012596,Severe
4/2/1996,41.03656668,-1.295102131,-2.763740817,Moderate
4/3/1996,157.7103684,1.69805124,0.947114291,Severe
4/4/1996,33.43917091,1.025966892,2.087850473,Severe
4/5/1996,5.691478369,0.588274935,-1.954787798,Moderate
4/6/1996,125.8709885,-1.847142908,0.970721601,Moderate
4/7/1996,195.1966239,-1.675778877,1.949728285,Moderate
4/8/1996,66.24276292,-2.715909572,-1.272303782,Severe
4/9/1996,23.73114064,-1.555725421,-0.568522005,Normal
4/10/1996,114.0774651,-0.927338343,0.417106311,Extreme
4/11/1996,181.2708422,1.998871823,0.115006133,Normal
4/12/1996,156.812356,-0.801644,-2.764863642,Extreme
4/13/1996,124.5031737,1.527730697,-2.407967411,Severe
4/14/1996,63.01129932,-0.363346312,-2.397200524,Extreme
4/15/1996,108.3760347,1.709209872,-1.426392567,Extreme
4/16/1996,18.24896826,2.857629603,-1.524815323,Normal
4/17/1996,135.7890849,-1.560950652,1.453334303,Moderate
4/18/1996,145.019201,2.174049672,0.436466316,Moderate
4/19/1996,193.0063246,0.730944518,1.583856508,Severe
4/20/1996,52.07947175,1.90376557,-2.580623656,Moderate
4/21/1996,3.691283809,0.909515414,-0.088714575,Moderate
4/22/1996,109.1216929,-0.456302956,-1.057346524,Moderate
4/23/1996,141.3581009,-1.631550363,2.099635865,Moderate
4/24/1996,158.0814952,-2.579788648,1.246734941,Moderate
4/25/1996,38.7477866,0.213110187,2.215550825,Extreme
4/26/1996,52.35057381,2.941956567,-2.721437266,Severe
4/27/1996,102.5181851,1.42825083,1.324940937,Extreme
4/28/1996,66.12016199,-1.035926752,0.240050113,Normal
4/29/1996,172.1022973,1.963228801,1.950000174,Extreme
4/30/1996,94.75200275,1.613904001,0.042963546,Normal
5/1/1996,159.9157288,-1.31018524,0.241254467,Moderate
5/2/1996,116.1239521,-2.914155061,-2.689395714,Normal
5/3/1996,154.6180283,-2.291024169,1.01113719,Extreme
5/4/1996,66.53459731,2.263837142,-1.361160746,Extreme
5/5/1996,166.2833244,2.019378212,-2.881836467,Moderate
5/6/1996,54.91446311,-1.228745995,-2.601377025,Normal
5/7/1996,109.2197616,-1.288827442,2.743713654,Extreme
5/8/1996,42.80142263,1.757189923,-0.923536263,Extreme
5/9/1996,95.10530433,2.626424819,2.208453772,Moderate
5/10/1996,63.6350419,1.674823541,2.758063404,Moderate
5/11/1996,53.34068613,0.633472062,2.659603133,Severe
5/12/1996,193.3970036,-1.543971898,2.290351444,Extreme
5/13/1996,32.0148211,0.154487485,2.369063475,Severe
5/14/1996,157.4651675,-1.598928848,-1.265951734,Normal
5/15/1996,196.8329919,1.848068521,-2.091180658,Severe
5/16/1996,3.980296748,-0.678233523,0.835575373,Severe
5/17/1996,139.8054828,2.002183302,-0.071366449,Moderate
5/18/1996,50.58236111,-0.710344692,-2.407519688,Severe
5/19/1996,8.097564866,1.944896431,1.065247896,Normal
5/20/1996,80.57791579,-1.000093109,0.377160045,Extreme
5/21/1996,187.043562,-0.359200972,2.178404405,Extreme
5/22/1996,2.353018873,0.692930516,0.655102774,Severe
5/23/1996,117.5771384,-2.578274316,0.443677078,Extreme
5/24/1996,100.2792957,2.689242371,-0.35548966,Normal
5/25/1996,174.6768329,0.441634717,-0.223277581,Normal
5/26/1996,16.8003429,0.046920088,2.726287362,Normal
5/27/1996,136.305206,2.036363827,-2.169323944,Severe
5/28/1996,136.0219397,2.194576379,-0.322687089,Severe
5/29/1996,133.8160034,0.133562427,0.934963404,Moderate
5/30/1996,188.466899,2.563573955,-0.401936126,Moderate
5/31/1996,164.6175058,-2.611573404,-1.300706238,Normal
6/1/1996,8.394545249,-2.320645246,-1.275855775,Severe
6/2/1996,94.21657014,0.58072938,-1.598063722,Extreme
6/3/1996,79.59061124,-0.875604829,-0.936580797,Extreme
6/4/1996,62.02944422,-0.214649003,2.230048654,Extreme
6/5/1996,90.26734503,-1.031524693,0.031347302,Normal
6/6/1996,76.83883699,-0.571648131,-1.558567632,Moderate
6/7/1996,86.46677998,1.935878083,-0.692839698,Severe
6/8/1996,195.8523731,0.560857199,-2.365017528,Normal
6/9/1996,17.72659495,2.984067296,2.424214438,Extreme
6/10/1996,184.446174,1.721275187,-0.550813007,Extreme
6/11/1996,96.04734269,-1.358002475,2.882347228,Normal
6/12/1996,124.7484491,-1.413929294,-0.91476736,Normal
6/13/1996,166.0365933,-0.984610379,2.018136283,Moderate
6/14/1996,72.09260583,2.059556884,-1.46168812,Severe
6/15/1996,86.08438162,-2.836274096,-2.54308264,Extreme
6/16/1996,81.90369606,-1.618912327,-2.80959983,Moderate
6/17/1996,74.94620451,2.429510522,0.63701056,Normal
6/18/1996,185.1058643,0.839378616,-1.13055797,Moderate
6/19/1996,165.7859782,-1.638917427,-0.338880717,Extreme
6/20/1996,21.79999797,-1.685130191,1.911882214,Moderate
6/21/1996,21.6246705,2.175708611,-1.511351486,Moderate
6/22/1996,85.57390297,2.36254505,-1.14808514,Moderate
6/23/1996,19.73147535,-1.463213454,2.07201711,Severe
6/24/1996,123.8186191,-0.476937852,-0.04342636,Extreme
6/25/1996,28.73832145,2.007574432,1.965991002,Severe
6/26/1996,104.4746528,1.626044632,-0.753143979,Extreme
6/27/1996,1.443989401,1.883496639,-0.609780115,Normal
6/28/1996,63.31926968,0.110389145,-1.997169829,Moderate
6/29/1996,135.4381447,2.46929429,2.498075122,Extreme
6/30/1996,96.80778805,-1.044290736,2.380702164,Extreme
7/1/1996,195.6538972,-2.059967194,2.905302087,Moderate
7/2/1996,174.8207592,1.252393995,-0.585317237,Severe
7/3/1996,71.81415581,0.236126496,1.911689651,Severe
7/4/1996,9.097308294,2.127514613,-0.51027761,Severe
7/5/1996,169.12526,-2.513044505,-0.274207266,Moderate
7/6/1996,182.2468621,2.062154421,1.979996362,Severe
7/7/1996,164.1254787,-1.240232081,-1.935799375,Extreme
7/8/1996,25.58998818,0.929134003,-1.678134393,Extreme
7/9/1996,199.5830269,-2.759227266,-1.111630558,Moderate
